domain,count,median_sponsor_score,is_sponsored,domain_category
nicovideo.jp,14141,1,0,OVP
NBAGLeague.com,14135,1,0,Sport
tkqlhce.com,14049,13,0,Technology
ewinracing.com,14012,8,1,Shop
adobe.com,13966,9,0,Application
prowrestlingtees.com,13953,2,1,Fashion
fiba.com,13931,0,0,Sport
imojo.in,13931,4,1,Service
dicetower.com,13920,2,0,Entertainment
optionalpha.com,13890,12,1,Crypto
primrosekitten.com,13872,13,0,Education
gyazo.com,13856,3,0,Sharing Service
daveeast.fanlink.to,13843,7,0,Music
sidemenclothing.com,13821,2,1,Fashion
magiclinks.org,13816,19,1,Agency
mattgranger.com,13808,5,0,YCW
shemaroome.app.link,13802,8,0,Streaming
gamecapture.com,13762,3,1,Video Game
valleycentral.com.,13761,0,0,Media
rajasthanpatrika.patrika.com,13750,5,0,Media
gogetfunding.com,13734,0,0,Donation
warriortrading.com,13729,36,0,YCW
trapcity.tv,13681,2,0,Media
shopstyle.com,13653,11,1,Fashion
loots.com,13639,4,1,Agency
wwenetwork.com,13614,3,0,Streaming
2pgame.com,13610,2,0,Video Game
khabar.ndtv.com,13589,2,0,Media
j.gs,13582,8,0,Shorten
barnesandnoble.com,13547,3,0,Book
FNTSY.com,13546,15,0,Media
10tv.in,13530,2,0,Media
kqzyfj.com,13499,13,0,Application
warthunder.com,13459,7,1,Video Game
blip.tv,13436,2,0,Streaming
d.tube,13434,6,0,Crypto
uber.com,13425,12,0,Food Drink
NBA.com,13401,6,0,Sport
link.epidemicsound.com,13381,2,1,Agency
bollywoodkibaten.com,13380,3,0,Media
lulu.com,13362,4,1,Book
thrustmaster.com,13358,5,1,Video Game
astrogaming.com,13349,6,1,Video Game
tipeeestream.com,13339,3,1,Agency
amctheatres.com,13335,3,0,Entertainment
beybladeworld.net,13332,12,0,Shop
go.volleyball.world,13322,1,0,Sport
sametext.com,13315,9,0,Application
pexels.com,13307,4,0,Service
businessinsider.com,13300,3,0,Media
fandangonow.com,13298,4,0,Entertainment
chessable.com,13254,0,0,Sport
lokmat.news18.com,13242,0,0,Media
store.dftba.com,13206,4,1,Shop
clipadvise.com,13204,4,0,Agency
swarnavahini.lk,13177,0.0,0,
worldofdance.com,13162,3.0,0,Media
aetv.us,13159,2.0,0,Streaming
scribd.com,13151,3.0,0,Streaming
kinolibrary.com.,13142,1.0,0,Movie
nfxshotnetwork.com,13139,2.0,0,Service
theclassicarchives.com,13139,2.0,0,Shop
kcci.com,13138,1.0,0,Media
mlg.tv,13087,4.0,0,Streaming
bbc.com,13082,2.0,0,Media
reverb.com,13070,3.0,0,Shop
maximotv.com,13035,4.0,0,Media
nhl.com,13017,0.0,0,Sport
africanews.com,13000,3.0,0,Media
bonfire.com,12982,5.0,1,Shop
giphy.com,12969,3.0,0,Entertainment
zerohedge.com,12966,3.0,0,Media
fbl.me,12965,3.0,0,Service
store.nba.com,12964,6.0,1,Shop
archive.org,12948,2.0,0,Entertainment
memphisdrumshop.com,12937,5.0,0,Music
zipansion.com,12885,8.0,0,Application
playstation.com,12872,3.0,1,Video Game
cbcnews.ca,12857,5.0,0,Media
gematsu.com,12835,0.0,0,Media
subscriptionboxmom.com,12822,9.0,0,Shop
thedo.do,12789,1.0,0,Entertainment
yoyodaily.com,12784,0.0,0,Service
cna.asia,12782,1.0,0,Media
salln.net,12767,9.0,0,
udacity.com,12762,1.0,0,Education
musicnotes.com,12753,5.0,1,Music
sovndwave.com,12751,24.0,0,Music
patrickarundell.com,12743,3.0,0,Entertainment
MovieTalkies.com,12736,0.0,0,Movie
tv5news.in,12729,2.0,0,TV
stumbleupon.com,12648,2.0,0,Application
cashforap.ps,12644,7.0,0,Application
sonotekcassette.com,12600,4.0,0,Movie
paulbegleyprophecy.com,12570,0.0,0,Streaming
fixtstore.com,12570,5.0,0,Entertainment
nitra.do,12563,4.0,0,Technology
kelleyrosano.com,12562,5.0,0,Forum
us.battle.net,12561,4.0,1,Video Game
theotrade.com,12547,19.0,1,Education
mailchi.mp,12542,9.0,1,Application
gamezplay.org,12539,2.0,0,Video Game
expressoshow.com,12528,0.0,0,Food Drink
join.quizgroup.com,12527,0.0,0,Agency
flipboard.com,12495,3.0,0,Entertainment
sports.abs-cbn.com,12489,0.0,0,Sport
corsair.com,12447,1.0,1,Video Game
flic.kr,12447,1.0,0,Forum
tawk.to,12404,19.0,1,Application
onelink.to,12382,8.0,0,Application
link.bluedrake42.com,12352,2.0,0,Video Game
fig-gymnastics.com,12328,1.0,0,Sport
acepilot2k7.com,12328,9.0,0,YCW
hsn.com,12318,3.0,0,Shop
shop.maker.tv,12309,3.0,0,Shop
wgal.com,12298,1.0,0,Media
theacc.com,12292,2.0,0,Sport
gymnasticsdvd.de,12287,2.0,0,Sport
WatchMojo.com,12282,8.0,0,Streaming
ntv.co.ug,12255,0.0,0,Media
1.envato.market,12253,10.0,0,Forum
newwaves.com,12244,2.0,0,Fashion
SecularTalkRadio.com,12221,1.0,0,Radio
lynda.com,12212,2.0,0,Education
ck1t.ru,12203,4.0,0,
streetsideclassics.com,12202,4.0,0,Shop
cinemablend.com,12195,2.0,0,Movie
bstk.me,12188,5.0,1,Video Game
apnews.com,12184,0.0,0,Media
slideshare.net,12182,2.0,0,Forum
nationalgeographic.com,12169,4.0,0,Entertainment
zara.com,12091,6.0,0,Shop
kexp.org,12080,0.0,0,Music
7obu.com,12077,5.0,0,Music
collider.com,12052,5.0,0,Movie
target.com,12038,5.0,1,Shop
Minds.com,12029,18.0,1,Media
speedgaming.org,12017,0.0,0,YCW
Majority.FM,11986,6.0,0,Media
cardsinfinity.com,11976,1.0,0,Shop
hugedomains.com,11970,8.0,1,Real Estate
video.foxbusiness.com,11947,3.0,0,TV
hobotraveler.com,11920,7.0,1,Service
apps.microsoft.com,11872,11.0,0,Application
go.onelink.me,11868,2.0,0,Service
uspstudios.co,11857,9.0,1,Photo
cleanharleys.com,11823,10.0,1,Shop
hp.care,11796,5.0,0,
mnot.es,11788,8.0,1,Music
spinninrecords.com,11784,8.0,1,Music
aryqtv.tv,11775,1.0,0,TV
brave.com,11767,5.0,0,Service
cameo.com,11746,6.0,1,Service
dlive.tv,11731,3.0,0,Streaming
m.freemyapps.com,11731,8.0,1,Shop
thetelugufilmnagar.com,11728,1.0,0,Movie
chartguys.com,11726,8.0,1,Crypto
gammagamers.com,11708,7.0,0,Video Game
bluemic.com,11701,5.0,1,Shop
store.cdbaby.com,11698,6.0,1,Music
whiteninglightning.com,11664,31.0,1,Beauty
heroesofthestorm.com,11647,1.0,1,Video Game
realmenrealstyle.com,11644,17.0,1,Service
adafru.it,11637,4.0,0,Shop
web.roblox.com,11636,5.0,0,Video Game
nptel.iitm.ac.in,11630,0.0,0,Education
euroleague.net,11610,2.0,0,Sport
courses.carajaclasses.com,11607,2.0,0,Education
pcspecialist.co.uk,11599,2.0,0,Shop
modhub.us,11599,4.0,0,Video Game
robertsspaceindustries.com,11583,9.0,1,Video Game
market.android.com,11567,2.0,0,Application
residentadvisor.net,11543,2.0,0,Entertainment
givetad.com,11537,4.0,0,Donation
prntscr.com,11503,3.0,0,Application
share.media.jio.com,11489,3.0,0,
aukcja.kipa.be,11486,5.0,0,Education
app.adjust.com,11478,6.0,0,Application
durianrider.com,11477,3.0,1,Education
m.vk.com,11469,4.0,1,Application
NBADLeague.com,11450,2.0,0,Sport
revzilla.com,11402,2.0,1,Vehicle
therealnews.com,11396,0.0,0,Media
irresistibleme.com,11370,18.0,1,Beauty
catersnews.com,11359,5.0,0,Service
shop.wwe.com,11353,3.0,0,Shop
grove.co,11342,15.0,1,Shorten
X17online.com,11330,3.0,0,Media
bigmagic.tv,11317,2.0,0,OVP
andhrajyothy.com,11309,1.0,0,Media
beautifulhalo.com,11296,14.0,0,Fashion
criticalbench.com,11276,5.0,1,Education
nextnewsnetwork.com,11258,9.0,0,Media
stylistheather.com,11245,6.0,0,
teamliquid.net,11209,0.0,0,Video Game
clk.tradedoubler.com,11203,5.0,1,Education
whatculture.com,11179,0.0,0,Media
minecraft.curseforge.com,11165,6.0,0,Forum
forum.xda-developers.com,11158,4.0,0,Forum
newsy.com,11155,1.0,0,Media
halleonard.com,11133,6.0,1,Music
sendspace.com,11113,2.0,0,Application
digitaltrends.com,11071,4.0,0,Technology
bornprettystore.com,11060,10.0,1,Beauty
eventvods.com,11053,2.0,0,Social Media
bungie.net,11050,4.0,1,Video Game
jonsine.fanlink.to,11042,8.0,1,Music
IslamOnDemand.com,11039,31.0,0,Religion
nesn.com,11030,0.0,0,Shop
r.mker.tv,11021,5.0,0,Forum
indiaglitz.com,11021,1.0,0,Movie
bloomberg.com,11007,5.0,1,Technology
j35.us,10997,8.0,0,
classic.avantlink.com,10991,14.0,1,Education
KEXP.ORG,10980,0.0,0,Music
hardreset.info,10954,2.0,0,Technology
ffm.to,10953,3.0,0,Music
ad.apsalar.com,10952,3.0,0,Application
swagbucks.com,10910,5.0,1,Shop
lionelmedia.com,10900,1.0,0,Media
fighthubtv.com,10898,5.0,0,Media
islamondemand.com,10897,31.0,1,Religion
link.clashroyale.com,10896,0.0,1,Video Game
pebbles.in,10882,2.0,0,
927bigfm.com,10864,1.0,0,Media
guildwars2.go2cloud.org,10857,7.0,1,Video Game
i.refs.cc,10851,22.0,1,Sport
executiveinterviews.biz,10835,3.0,0,Service
overclockers.co.uk,10816,5.0,0,Technology
thmatc.co,10813,8.0,1,Music
tfpc.in,10808,1.0,0,Education
dariodaversa.com,10807,12.0,0,OVP
edge.bigthink.com,10805,3.0,0,Education
92newshd.tv,10789,5.0,0,Media
stingray.com,10765,3.0,1,Media
jaimaharashtranews.com,10747,3.0,0,Media
atpworldtour.com,10732,1.0,0,Sport
autodoc.co.uk,10719,8.0,1,Vehicle
potomacbeads.com,10714,11.0,1,Fashion
zack.watch,10677,12.0,0,OVP
cbeditingpng.com,10664,18.0,0,
incompetech.com),10663,4.0,0,Shorten
andro4fun.blogspot.ie,10661,6.0,0,Forum
kinolibrary.com,10652,1.0,1,Streaming
fbuy.me,10638,21.0,1,Shop
enca.com,10637,0.0,0,Media
viralhog.com,10627,4.0,1,Service
jaminthevan.com,10619,9.0,1,Music
2ggaming.com,10615,1.0,0,Video Game
artlist.io,10606,8.0,1,Music
v.douyin.com,10600,2.0,0,Social Media
distrokid.com,10585,6.0,0,Music
blogtv.com,10581,3.0,0,Media
ikea.com,10567,6.0,1,Shop
tee.pub,10566,3.0,1,Shop
wcvb.com,10560,1.0,0,Media
yourquote.in,10559,3.0,0,Application
hum.tv,10558,3.0,0,Media
tv5news.in.,10499,2.0,0,Media
thanthitv.com,10495,4.0,0,Media
MLSsoccer.com,10488,0.0,0,Sport
people.com,10485,6.0,0,Media
track.leadnationmedia.com,10484,3.0,0,OVM
stardust.app.link,10462,3.0,0,Science
longplays.org,10428,1.0,0,Service
bluetablepainting.com,10423,2.0,0,Service
sh.st,10410,4.0,0,Application
cnn.com,10405,3.0,0,Media
thechartguys.com,10405,7.0,0,OVM
jesus-comes.com,10402,3.0,0,Religion
thesun.co.uk,10399,5.0,0,Media
featu.re,10382,9.0,1,Service
c.singular.net,10364,12.0,1,Education
music.youtube.com,10348,4.0,0,Music
airsoftgi.com,10342,2.0,1,Shop
8wayrun.tv,10340,1.0,0,OVM
youpartnerwsp.com,10313,1.0,0,Service
looted.by,10306,5.0,1,Shop
tarlwarwick.net,10297,0.0,0,Photo
boots.com,10270,6.0,1,Beauty
thingiverse.com,10260,6.0,0,Technology
sportsnet.ca,10252,1.0,0,Sport
mlpl.link,10240,8.0,1,Application
history.com,10239,1.0,0,Streaming
greenfieldpuppies.com,10232,0.0,0,Shop
astro.family,10221,15.0,0,Forum
nj1015.com,10207,0.0,0,Media
arabylinks.com,10196,27.0,1,Real Estate
g.co,10164,7.0,0,Application
1spotmedia.com,10158,1.0,0,Media
televisionjamaica.com,10153,1.0,0,Media
casaa.org,10145,5.0,0,Education
newsnation.in,10143,3.0,0,Media
entertainmentearth.com,10140,7.0,1,Shop
noscopeglasses.com,10136,7.0,1,Education
bxcam.com,10112,1.0,0,Application
thecreaturehub.com,10085,1.0,0,OVM
sribalajivideo.com,10083,8.0,1,Service
stephengeorg.com,10081,1.0,0,OVM
weareworship.com,10073,0.0,0,Music
mysheetmusictranscriptions.com,10070,0.0,0,Music
frdr.us,10047,7.0,0,Entertainment
genius.com,10043,1.0,0,Music
greetname.com,10033,2.0,0,Application
outfit7.com,10032,12.0,0,Shop
mlb.com,10004,5.0,0,Sport
